station_code,exit_number,latitude,longitude,osm_type,osm_id
100,1,35.0895927,128.9742370,node,8266252770
100,2,35.0898791,128.9742516,node,8266252771
100,3,35.0894401,128.9731090,node,8266252772
100,4,35.0901780,128.9731060,node,8266252775
100,5,35.0894425,128.9728763,node,8266252773
100,6,35.0899328,128.9727966,node,8266252774
101,1,35.0944191,128.9604147,node,8266247474
101,2,35.0949834,128.9612243,node,8266247475
101,3,35.0951374,128.9604005,node,8266247476
101,4,35.0950396,128.9618934,node,8266247481
101,5,35.0952052,128.9603689,node,8266247477
101,6,35.0954288,128.9617273,node,8266247480
101,7,35.0952750,128.9603993,node,8266247478
101,9,35.0959711,128.9603534,node,8266247479
102,1,35.1063831,128.9646656,node,5669094407
102,10,35.1057379,128.9680494,node,5669094399
102,11,35.1060818,128.9686969,node,5669094414
102,12,35.1057045,128.9683430,node,5669094400
102,2,35.1060299,128.9646675,node,5669094408
102,3,35.1063960,128.9660234,node,5669094404
102,4,35.1060602,128.9661481,node,5669094406
102,5,35.1063966,128.9665113,node,5669094403
102,6,35.1060656,128.9665374,node,5669094405
102,7,35.1064096,128.9676335,node,5669094402
102,8,35.1060608,128.9675352,node,5669094401
102,9,35.1064979,128.9684620,node,5669094415
103,1,35.1038939,128.9730573,node,8266242422
103,2,35.1036198,128.9729341,node,8266242423
103,3,35.1037488,128.9735216,node,8266242424
103,4,35.1034841,128.9733921,node,8266242425
103,5,35.1033220,128.9747556,node,8266242426
103,6,35.1031274,128.9746700,node,8266242427
104,1,35.1000851,128.9823720,node,8266205576
104,2,35.0998404,128.9823107,node,8266205577
104,3,35.0997715,128.9839281,node,8266205578
104,4,35.0995742,128.9833029,node,8266205580
104,6,35.0994500,128.9838426,node,8266205579
105,1,35.0998271,128.9918895,node,8266205568
105,1,35.0995700,128.9919927,node,8266205569
105,10,35.1000371,128.9935195,node,8266205573
105,3,35.1001173,128.9928623,node,8266205570
105,4,35.0999015,128.9930559,node,8266205571
105,5,35.1002901,128.9934100,node,8266205572
105,6,35.0998030,128.9931932,node,8266205574
105,8,35.0998576,128.9934375,node,8266205575
106,1,35.1033251,129.0000850,node,8266199846
106,2,35.1030370,129.0001718,node,8266199847
106,3,35.1035109,129.0004882,node,8266199848
106,4,35.1031873,129.0006509,node,8266199849
107,1,35.1109578,129.0117161,node,8266202589
107,2,35.1105488,129.0122418,node,8266202590
107,3,35.1112816,129.0122471,node,8266202591
107,4,35.1108919,129.0126811,node,8266202592
108,1,35.1112330,129.0174428,node,8266184055
108,2,35.1113708,129.0170351,node,8266184056
108,3,35.1107942,129.0176788,node,8266184058
108,4,35.1106941,129.0173956,node,8266184057
108,5,35.1104001,129.0178805,node,8266184059
108,6,35.1103079,129.0176070,node,8266184060
108,7,35.1098744,129.0181488,node,8266184062
108,8,35.1097805,129.0178698,node,8266184061
109,1,35.1016349,129.0199981,node,8266133189
109,10,35.0993178,129.0196156,node,8266133198
109,2,35.1018891,129.0197441,node,8266133190
109,3,35.1012928,129.0199869,node,8266133191
109,4,35.1004214,129.0196158,node,8266133192
109,5,35.1000135,129.0199263,node,8266133194
109,6,35.1000178,129.0195992,node,8266133193
109,7,35.0996046,129.0199265,node,8266133195
109,8,35.0996244,129.0195739,node,8266133196
109,9,35.0993230,129.0199188,node,8266133197
110,1,35.0968433,129.0246403,node,5163594106
110,10,35.0975171,129.0278078,node,5163594114
110,2,35.0966289,129.0248053,node,5163594105
110,3,35.0974459,129.0264474,node,5163594110
110,4,35.0969915,129.0261207,node,5163594109
110,5,35.0976096,129.0271202,node,5163594111
110,6,35.0971891,129.0265505,node,5163594108
110,7,35.0977385,129.0276854,node,5163594112
110,8,35.0973746,129.0272221,node,5163594113
111,1,35.0977768,129.0339261,node,5163601680
111,10,35.0983324,129.0361391,node,5163601676
111,2,35.0974996,129.0332905,node,5163601682
111,3,35.0979021,129.0343773,node,5163601681
111,4,35.0976750,129.0348683,node,5163601679
111,5,35.0981518,129.0352134,node,5163601677
111,6,35.0976863,129.0354837,node,5163601678
111,7,35.0986370,129.0354924,node,8266086677
111,8,35.0978879,129.0359284,node,5163601675
112,1,35.1018470,129.0363233,node,4952423325
112,10,35.1048811,129.0364282,node,4952423333
112,11,35.1045750,129.0362419,node,4952423336
112,12,35.1055784,129.0364169,node,8266070114
112,13,35.1048727,129.0362375,node,4952423335
112,14,35.1057825,129.0363954,node,8266070115
112,15,35.1053647,129.0361766,node,8266070113
112,17,35.1057733,129.0361444,node,8266070116
112,2,35.1026628,129.0365865,node,4952423326
112,3,35.1026559,129.0363515,node,4952423327
112,4,35.1031657,129.0365490,node,4952423328
112,5,35.1028430,129.0362513,node,4952423329
112,6,35.1036986,129.0364944,node,4952423332
112,7,35.1029965,129.0360350,node,4952423330
112,8,35.1045800,129.0364476,node,4952423334
112,9,35.1031631,129.0362979,node,4952423331
113,1,35.1138158,129.0388879,node,8266060519
113,10,35.1151235,129.0399160,node,8266060526
113,2,35.1137001,129.0391949,node,8266060520
113,3,35.1141023,129.0390237,node,8266060521
113,4,35.1139938,129.0393181,node,8266060522
113,5,35.1149716,129.0393963,node,8266060523
113,6,35.1147648,129.0397587,node,8266060524
113,7,35.1152179,129.0394907,node,8266060527
113,8,35.1148347,129.0400694,node,8266060525
114,1,35.1192203,129.0417272,node,8266059442
114,10,35.1214280,129.0433019,node,8266059450
114,12,35.1218531,129.0435256,node,8266059452
114,2,35.1191011,129.0421232,node,8266059443
114,3,35.1196596,129.0416680,node,8266059444
114,4,35.1194735,129.0422674,node,8266059445
114,5,35.1203949,129.0424159,node,8266059446
114,6,35.1203064,129.0427046,node,8266059447
114,7,35.1215196,129.0430330,node,8266059449
114,8,35.1205580,129.0428273,node,8266059448
114,9,35.1219549,129.0432568,node,8266059451
115,1,35.1272341,129.0468156,node,8265994360
115,2,35.1268438,129.0473434,node,8265994361
115,3,35.1273846,129.0471913,node,8265994362
115,4,35.1271696,129.0475454,node,8265994363
115,5,35.1279918,129.0478903,node,8265994364
115,6,35.1278297,129.0481419,node,8265994365
115,7,35.1284463,129.0483989,node,8265994367
115,8,35.1282227,129.0485545,node,8265994366
116,1,35.1337735,129.0536524,node,8266003083
116,2,35.1335814,129.0538895,node,8266003084
116,3,35.1341692,129.0540343,node,8266003086
116,4,35.1336191,129.0541330,node,8266003085
116,5,35.1346404,129.0544796,node,8266003087
116,6,35.1344430,129.0547853,node,8266003088
116,7,35.1350098,129.0548454,node,8266003089
116,8,35.1348159,129.0551844,node,8266003090
117,1,35.1396484,129.0592867,node,8265988477
117,10,35.1416441,129.0596184,node,8265988486
117,12,35.1418978,129.0595053,node,8265988487
117,2,35.1396512,129.0594838,node,8265988478
117,3,35.1400560,129.0592828,node,8265988479
117,4,35.1400594,129.0594777,node,8265988480
117,5,35.1408140,129.0592014,node,8265988481
117,6,35.1408221,129.0595043,node,8265988482
117,7,35.1411467,129.0591153,node,8265988483
117,8,35.1411497,129.0594982,node,8265988484
117,9,35.1416284,129.0591905,node,8265988485
118,1,35.1465944,129.0591424,node,8265959999
118,2,35.1466047,129.0593948,node,8265960000
118,3,35.1468525,129.0589243,node,8265960001
118,4,35.1468594,129.0594999,node,8265960002
118,5,35.1477279,129.0589691,node,8265960003
118,6,35.1476815,129.0595311,node,8265960004
118,7,35.1480227,129.0591141,node,8265960005
118,8,35.1480240,129.0593327,node,8265960006
119,10,35.1579461,129.0598309,node,8265954355
119,12,35.1588237,129.0601971,node,8265954356
119,13,35.1583033,129.0591656,node,8265954354
119,15,35.1589254,129.0599892,node,8265954357
119,8,35.1577705,129.0601594,node,8265954351
120,1,35.1622101,129.0622351,node,8265931023
120,1,35.1639548,129.0607863,node,8276787034
120,2,35.1616962,129.0625430,node,8265931024
120,2,35.1652223,129.0604724,node,8276787033
120,3,35.1622935,129.0625742,node,8265931025
120,4,35.1621794,129.0628735,node,8265931026
120,5,35.1629495,129.0631535,node,8265931027
120,6,35.1628504,129.0633981,node,8265931028
120,7,35.1633530,129.0634196,node,8265931029
120,8,35.1632539,129.0636814,node,8265931030
121,1,35.1727622,129.0709071,node,8265911739
121,2,35.1726154,129.0712626,node,8265911740
121,3,35.1729137,129.0707582,node,8265911741
121,4,35.1728473,129.0714321,node,8265911742
121,5,35.1730806,129.0708899,node,8265911743
121,6,35.1732338,129.0717546,node,8265911744
121,7,35.1733821,129.0713691,node,8265911745
121,8,35.1734408,129.0718032,node,8265911746
121,9,35.1735669,129.0715402,node,8265911747
122,1,35.1792094,129.0759465,node,4656500068
122,2,35.1789902,129.0762227,node,4656500069
122,3,35.1795378,129.0762272,node,4656500007
122,4,35.1793547,129.0765052,node,4656500067
122,5,35.1799502,129.0765848,node,4656500063
122,6,35.1798375,129.0768906,node,4656500066
122,7,35.1804272,129.0769764,node,4656500064
122,8,35.1801192,129.0771132,node,4656500065
123,1,35.1852374,129.0808966,node,8265805957
123,10,35.1860567,129.0823550,node,8265805965
123,12,35.1862442,129.0822837,node,8265805966
123,2,35.1852798,129.0812668,node,8265805958
123,4,35.1854664,129.0819314,node,8265805960
123,6,35.1856269,129.0821880,node,8265805962
123,8,35.1858108,129.0822926,node,8265805963
124,,35.1939490,129.0801687,node,5279364046
124,,35.1941452,129.0799917,node,5279364047
124,1,35.1946740,129.0796960,node,8265705599
124,10,35.1942270,129.0799782,node,8265705607
124,11,35.1931915,129.0789009,node,8265705608
124,12,35.1931850,129.0782066,node,8265705609
124,2,35.1947677,129.0802407,node,8265705600
124,3,35.1953492,129.0794349,node,8265705601
124,4,35.1950132,129.0804167,node,8265705602
124,5,35.1962433,129.0797651,node,8265705603
124,6,35.1961503,129.0803993,node,8265705604
