place_type,canonical_code,display_name,scope,count,source_count,source_values,note
ACCOMMODATION,MOTEL,모텔·여관,EXPOSED,7971,3,상가정보:여관/모텔 | 숙박업:여관업 | 숙박업:여인숙업 | TourAPI:숙박,
ACCOMMODATION,PENSION_HOMESTAY,펜션·민박,EXPOSED,10095,3,상가정보:펜션 | TourAPI:숙박 | 농어촌민박업:4830건,
ACCOMMODATION,HOTEL,호텔,EXPOSED,2050,4,상가정보:호텔/리조트 | 관광숙박업:관광숙박업 | 숙박업:일반호텔 | 숙박업:관광호텔 | TourAPI:숙박,
ACCOMMODATION,GUESTHOUSE_HOSTEL,게스트하우스·호스텔,EXPOSED,1575,2,외국인관광도시민박업:외국인관광 도시민박업 | TourAPI:숙박,
ACCOMMODATION,RESIDENCE,생활숙박·레지던스,EXPOSED,1114,1,숙박업:숙박업(생활),
ACCOMMODATION,CAMPING,캠핑장,EXPOSED,1092,3,상가정보:캠핑/글램핑 | 야영장:일반야영장업 | 야영장:일반야영장업 | TourAPI:레포츠 | TourAPI:숙박,
ACCOMMODATION,ACCOMMODATION_OTHER,기타 숙박,EXPOSED,571,3,상가정보:그 외 기타 숙박업 | 숙박업:숙박업 기타 | TourAPI:숙박,
ACCOMMODATION,AUTO_CAMPING,오토캠핑장,EXPOSED,419,2,야영장:자동차야영장업 | 야영장:자동차야영장업 | TourAPI:레포츠,
ACCOMMODATION,LONG_STAY_HOUSING,기숙사·고시원,NOT_EXPOSED,347,1,상가정보:기숙사/고시원,장기 거주형
ACCOMMODATION,HANOK_STAY,한옥 숙소,EXPOSED,143,2,한옥체험업:한옥체험업 | TourAPI:숙박,
ACCOMMODATION,RESORT_CONDO,리조트·콘도,EXPOSED,29,2,숙박업:휴양콘도미니엄업 | TourAPI:숙박,
ACCOMMODATION,GLAMPING_CARAVAN,글램핑·카라반,EXPOSED,0,0,,이번 원천에 미관측 — 사업자등록 기반 원천의 구조적 한계
ACTIVITY,GYM,헬스장,NOT_EXPOSED,6617,2,상가정보:헬스장 | 체육시설업:체력단련장업 | 체육시설업:체력단련장업,동네 생활시설
