source_license_type,source_uptae,target_place_type,target_subtype_code,mapping_status,source_count,sample_titles,note
식품_일반음식점,한식,RESTAURANT,KOREAN,CONFIRMED,45183,다경양곱창 / 자갈치식당 / 히노쿠시,
식품_일반음식점,기타,,,NEEDS_REVIEW,14047,낭커피(NANG COFFEE) / 설중 / 아나브린,"[상호 전량 분류 2026-08-22] 카페 13.5% · 한식 7.5% · 주점 6.9% · 양식 5.6% · 분식 3.5%, **미분류 62.0%**. 여러 PlaceType에 흩어지고 상호에 정보가 없는 건이 과반이라 단일 subtype 배정 불가. 카페 1,891건은 PlaceType이 RESTAURANT가 아니라 CAFE로 갈린다 / 상호 분류에서 PlaceType 자체가 갈려 target을 비웠다"
식품_일반음식점,호프/통닭,BAR,GENERAL_BAR,CONFIRMED,8645,케네디로즈 / 기남윤주 막걸리 / 나리치킨,현행 BAR base 정의에 포함된 업태
식품_일반음식점,식육(숯불구이),RESTAURANT,KOREAN,CONFIRMED,8321,육사랑방 / 땡우 / 한우고집,
식품_일반음식점,분식,RESTAURANT,SNACK_FAST_FOOD,CONFIRMED,5843,"남포수제비 / 엄마손분식 / 찐불이, 찐 숯불 두마리 치킨",
식품_일반음식점,경양식,,,NEEDS_REVIEW,5269,무봤나촌닭 영주대신점 / 불닭발땡초동대문엽기떡볶이 광복점 / 파스타바니타,[상호 전량 분류 2026-08-22] 양식 21.7%만 업태를 지지하고 카페 7.2% · 주점 2.7% · 한식 2.2%가 섞였다. **미분류 64.3%**. 다수가 WESTERN일 개연성은 있으나 근거가 21.7%뿐이라 확정하지 않는다 / 상호 분류에서 PlaceType 자체가 갈려 target을 비웠다
식품_일반음식점,횟집,RESTAURANT,KOREAN,NEEDS_REVIEW,4033,밀양상회 / 우마이야 / 소담식당,KOREAN/JAPANESE 어느 쪽인지 미확정. 표본도 혼재
식품_일반음식점,중국식,RESTAURANT,CHINESE,CONFIRMED,3860,만리장성 / 홍콩반점 남포1호점 / 행복한짜장,
식품_일반음식점,일식,RESTAURANT,JAPANESE,CONFIRMED,2553,갓포신 / 팔딱활아구&A9 / 쿄우다이,
식품_일반음식점,정종/대포집/소주방,BAR,TRADITIONAL_PUB,CONFIRMED,2528,이화민속주점 / 카도 / 치락스,현행 BAR base 정의에 포함된 업태
식품_일반음식점,통닭(치킨),BAR,GENERAL_BAR,NEEDS_REVIEW,1795,시장분식 / 미스터치킨맨 / 제이앤제니,"현행 base는 BAR로 셌으나 치킨전문점은 RESTAURANT일 수 있다. base 13,229 정의에 직접 영향"
식품_일반음식점,탕류(보신용),RESTAURANT,KOREAN,CONFIRMED,860,대청마루 / 장터소머리곰탕 / 남포삼계탕,
식품_일반음식점,김밥(도시락),RESTAURANT,SNACK_FAST_FOOD,CONFIRMED,743,지에이에프 / 중앙식당 / 자매김밥,
식품_일반음식점,"외국음식전문점(인도,태국등)",RESTAURANT,ASIAN,CONFIRMED,594,키키샵 / 봄베이인도요리전문점 / 박소베조코리아,
식품_일반음식점,뷔페식,RESTAURANT,FUSION_OTHER,NEEDS_REVIEW,364,콜렉티보 호텔토브점 / (주)이랜드이츠 애슐리퀸즈 롯데마트 광복점 / 대박한식뷔페,뷔페는 음식 종류가 아니라 제공 형식. 대응 축이 없다
식품_일반음식점,패스트푸드,RESTAURANT,SNACK_FAST_FOOD,CONFIRMED,292,쭈야네 / 멜팅보틀 / 7번가피자 남포*보수점,
식품_일반음식점,냉면집,RESTAURANT,KOREAN,CONFIRMED,265,최가네 국밥 / 왕밀면냉면중앙점 / 강가면옥,
식품_일반음식점,감성주점,BAR,GENERAL_BAR,CONFIRMED,256,힐링주점 / 글로우 / 썰쓰데이파티,현행 BAR base 정의에 포함된 업태
식품_일반음식점,복어취급,RESTAURANT,KOREAN,CONFIRMED,213,동해복국 / 생복식당 / 남포동동주복국,
식품_일반음식점,까페,CAFE,GENERAL_CAFE,NEEDS_REVIEW,172,금화 / 바 해인 / 조마이국수,카페 키워드 적중 15.1%로 휴게음식점 커피숍(56.2%)의 1/4. 오적중 기준선(한식 0.8%)보다는 높아 일부는 실제 카페다. 업태 값을 그대로 믿을 수 없다
식품_일반음식점,패밀리레스트랑,RESTAURANT,WESTERN,CONFIRMED,126,빕스 롯데백화점 광복점 / 왓더버거 동대신동점 / 라메르,
식품_일반음식점,라이브카페,BAR,GENERAL_BAR,NEEDS_REVIEW,80,북앵커 아테네학당 / 신불떡볶이 / 고흥식당,명칭은 카페지만 주점 성격. 표본은 분식·식당이라 불일치
